Je, unajua kwamba Ufalme wa Inca ulikuwa umezalishwa Mexico?
Je, unajua kwamba ukoloni wa Maya ulianza mwaka wa 20?
Je, unajua kwamba Kiswahili cha Brazil ni sawa na Kiswahili?
Je, unajua kwamba Simon Bolivar alikuwa mwenyekiti wa Mwongozo wa Mexico?
Je, unajua kwamba Kanali ya Panama ilibuniwa na Waswahili?
Je, unajua kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini?
Je, unajua kwamba bendera ya Brazil ilitengenezwa mwaka wa 16?
Je, unajua kwamba ukoloni wa Waswahili wa Ufalme wa Inca ulianza mwaka wa 13?
Je, unajua kwamba Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kusini?
Je, unajua kwamba Kiswahili cha Brazil ilikuwa lugha ya kwanza iliyosimamiwa Amerika ya Kusini?
Je, unajua kwamba Ufalme wa Inca ulikuwa wa kwanza kuokolewa Amerika ya Kati?
Je, unajua kwamba Kanali ya Panama ilibuniwa na Incas?
Je, unajua kwamba ukoloni wa Maya ulizidi kuishi hadi mwaka wa 19?
Je, unajua kwamba mfalme wa kwanza wa Inca alikuwa Waswahili?
Je, unajua kwamba Mwongozo wa Mexico ulikuwa umeendeshwa na Simon Bolivar?
Je, unajua kwamba ukoloni wa Maya ulikuwa umezalishwa Karibuni?
Je, unajua kwamba ukoloni wa Waswahili wa Ufalme wa Inca ulianza mwaka wa 12?
Je, unajua kwamba bendera ya Brazil ilitengenezwa mwaka wa 18?
Je, unajua kwamba Aztecs ni wa kwanza wa koloni za kabla ya Columbus katika Amerika ya Kusini?
Je, unajua kwamba Confucius alitengeneza mchanga?
Je, unajua kwamba Maboma ya Kijeshi ilibuniwa mwaka wa 4?
Je, unajua kwamba Wachina walitengeneza ndege?
Je, unajua kwamba ukoloni wa kwanza wa Wachina ulianza mwaka wa 10?
Je, unajua kwamba Wachina walitengeneza kichupi cha kuchapisha?
Je, unajua kwamba Wachina walipata Amerika mwaka wa 15?
Je, unajua kwamba Wachina walitengeneza makina ya moto?
Je, unajua kwamba Wachina walitengeneza simu?
Je, unajua kwamba ukoloni wa kwanza wa Wachina ulianza mwaka wa 19?
Je, unajua kwamba Wachina walitengeneza gari?
Je, unajua kwamba Wachina walitengeneza kompyuta?
Je, unajua kwamba Wachina walipata Amerika mwaka wa 13?
Je, unajua kwamba Wachina walipata bomu ya atomu?
Je, unajua kwamba Maboma ya Kijeshi ilibuniwa mwaka wa 6?
Je, unajua kwamba Wachina walitengeneza moto wa moto?
Je, unajua kwamba Wachina walitengeneza simu mwaka wa 18?
Je, unajua kwamba Wachina walitengeneza mikroskopi?
